age,uicc_stadium,Death_2-3_Year,No_Death_Second_Third_Year
40-49,1,0.0260,0.9740
50-59,1,0.0261,0.9739
60-69,1,0.0550,0.9450
70-140,1,0.1124,0.8876
40-49,2,0.0500,0.9500
50-59,2,0.0144,0.9856
60-69,2,0.0421,0.9579
70-140,2,0.1258,0.8742
40-49,3,0.0909,0.9091
50-59,3,0.0621,0.9379
60-69,3,0.0725,0.9275
70-140,3,0.1176,0.8824
40-49,4,0.1698,0.8302
50-59,4,0.1061,0.8939
60-69,4,0.1307,0.8693
70-140,4,0.2357,0.7643
40-49,5,0.3529,0.6471
50-59,5,0.3529,0.6471
60-69,5,0.3750,0.6250
70-140,5,0.4286,0.5714